ticker,revenue_growth,employees
AAPL,0.061,164000.0
NVDA,1.224,29600.0
MSFT,0.16,228000.0
AMZN,0.11,1551000.0
GOOGL,0.151,181269.0
GOOG,0.151,181269.0
META,0.189,72404.0
TSLA,0.078,140473.0
AVGO,0.164,20000.0
BRK-B,-0.002,396500.0
WMT,0.048,2100000.0
LLY,0.204,43000.0
JPM,0.03,316043.0
V,0.117,
MA,0.128,33400.0
ORCL,0.069,159000.0
XOM,-0.015,62000.0
UNH,0.092,440000.0
COST,0.01,333000.0
PG,-0.006,108000.0
HD,0.066,465000.0
NFLX,0.15,13000.0
JNJ,0.052,131900.0
BAC,-0.005,213000.0
CRM,0.084,72682.0
ABBV,0.038,50000.0
KO,-0.008,79100.0
TMUS,0.047,67000.0
CVX,-0.064,45600.0
MRK,0.044,70000.0
WFC,-0.018,220167.0
CSCO,-0.056,90400.0
ACN,0.026,774000.0
NOW,0.222,22668.0
AXP,0.08,74600.0
MCD,0.027,100000.0
PEP,-0.006,318000.0
BX,0.541,4735.0
IBM,0.015,282200.0
DIS,0.037,173250.0
LIN,0.025,65596.0
TMO,0.002,122000.0
MS,0.165,80000.0
ABT,0.049,114000.0
ADBE,0.106,29945.0
AMD,0.176,26000.0
PM,0.084,82700.0
ISRG,0.169,13676.0
PLTR,0.3,3892.0
GE,0.058,125000.0
INTU,0.41,18800.0
GS,0.042,46400.0
CAT,-0.042,113200.0
TXN,-0.084,34000.0
QCOM,0.187,49000.0
VZ,,101200.0
BKNG,0.089,24200.0
DHR,0.031,61000.0
T,-0.005,143630.0
BLK,0.149,20400.0
RTX,0.492,185000.0
SPGI,0.159,40450.0
PFE,0.312,88000.0
HON,0.056,95000.0
NEE,0.055,16800.0
CMCSA,0.065,186000.0
ANET,0.2,4023.0
AMGN,0.232,26700.0
PGR,0.267,61432.0
LOW,-0.055,300000.0
SYK,0.119,52000.0
UNP,0.025,30518.0
TJX,0.056,349000.0
KKR,0.238,4490.0
SCHW,0.052,32100.0
ETN,0.079,94000.0
AMAT,0.055,35200.0
BA,-0.015,171000.0
BSX,0.193,48000.0
C,-0.024,229000.0
UBER,0.204,30800.0
COP,-0.079,10300.0
PANW,0.121,15289.0
ADP,0.071,64000.0
DE,-0.168,83000.0
FI,0.07,42000.0
BMY,0.084,34100.0
LMT,0.013,122000.0
GILD,0.07,18000.0
NKE,-0.104,79400.0
CB,0.078,40000.0
UPS,0.056,500000.0
ADI,-0.248,26000.0
MMC,0.059,85000.0
MDT,0.028,95000.0
VRTX,0.116,5400.0
MU,0.933,48000.0
SBUX,-0.032,
PLD,0.068,2574.0
GEV,0.08,80000.0
LRCX,0.197,17700.0
MO,0.013,6400.0
SO,0.042,27819.0
EQIX,0.189,13151.0
CRWD,0.317,9219.0
PYPL,0.058,27200.0
SHW,0.007,64088.0
ICE,0.173,12900.0
CME,0.185,3565.0
