ticker,price,pe_ratio,dividend_yield,eps,week52_low,week52_high,market_cap,ebitda,price_to_sales,price_to_book
MMM,222.89,24.31,2.3328617,7.92,259.77,175.49,138721055226.0,9048000000.0,4.3902707,11.34
AOS,60.24,27.76,1.1479592,1.7,68.39,48.925,10783419933.0,601000000.0,3.5754826,6.35
ABT,56.27,22.51,1.9089824,0.26,64.6,42.28,102121042306.0,5744000000.0,3.7404804,3.19
ABBV,108.48,19.41,2.4995599,3.29,125.86,60.05,181386347059.0,10310000000.0,6.291571,26.14
ACN,150.51,25.47,1.7144699,5.44,162.6,114.82,98765855553.0,5643228000.0,2.604117,10.62
ATVI,65.83,31.8,0.43190324,1.28,74.945,38.93,52518668144.0,2704000000.0,10.59512,5.16
AYI,145.41,18.22,0.35118526,7.43,225.36,142.0,6242377704.0,587800000.0,1.7953473,3.55
ADBE,185.16,52.31,0.0,3.39,204.45,114.451,94550214268.0,2538040000.0,13.092818,11.06
AAP,109.63,19.54,0.21832074,6.19,169.55,78.81,8123611867.0,853941000.0,1.1301061,2.51
AMD,11.22,187.0,0.0,0.03,15.65,9.7,11191663795.0,339000000.0,2.1091955,21.47
AES,10.06,9.96,4.961832,-1.72,12.05,10.0,6920851212.0,3001000000.0,0.65951383,2.2
AET,178.0,18.11,1.101989,5.75,194.4,119.51,59197016353.0,4139000000.0,0.9923546,3.79
AMG,179.11,12.24,0.6387395,12.07,216.995,148.81,10442174371.0,1261400000.0,4.591235,2.89
AFL,83.25,12.24,2.4299066,11.01,91.73,68.8,33422948000.0,0.0,1.5429344,1.53
A,65.05,27.45,0.8756979,2.1,75.0,49.23,21984606918.0,1094000000.0,6.493563,4.56
APD,152.8,24.22,2.7811136,13.66,175.17,133.6301,34638387128.0,2542500000.0,4.1163683,3.35
AKAM,62.49,32.55,0.0,1.79,69.56,44.65,10906904066.0,789517000.0,5.8546524,3.25
ALK,64.04,9.66,1.9928383,8.28,101.43,59.25,7903173734.0,1665000000.0,0.9801092,2.21
ALB,105.18,26.03,1.2004126,5.66,144.99,90.35,11782151266.0,686030000.0,5.3666205,2.98
ARE,114.58,19.03,3.0262272,1.57,134.37,106.89,12043374429.0,0.0,10.492155,2.07
ALXN,108.47,22.18,0.0,1.77,149.34,96.18,26172439795.0,1072000000.0,9.720562,2.82
ALGN,220.71,56.59,0.0,2.84,287.32,92.61,18788041378.0,380326000.0,13.138819,16.44
ALLE,77.32,21.07,0.8004002,2.37,89.81,66.72,7599609494.0,531800000.0,4.265232,20.48
AGN,164.2,10.65,1.643289,38.35,256.8,160.07,56668833898.0,-2888100000.0,4.820115,0.83
ADS,240.6,13.02,0.9240122,14.13,278.33,209.0,13632608582.0,2143200000.0,1.7282298,8.28
LNT,37.14,19.86,3.5733333,1.65,45.55,36.84,8670163500.0,1168400000.0,3.4331481,2.13
ALL,90.06,13.26,1.5278208,4.68,105.36,77.73,34759468905.0,0.0,1.2085556,1.67
GOOGL,1007.71,31.48,0.0,22.27,1198.0,824.3,733823966137.0,34217000000.0,6.801692,4.7
GOOG,1001.52,40.29,0.0,22.27,1186.89,803.1903,728535558140.0,32714000000.0,6.772653,4.67
MO,64.05,18.89,3.9526875,5.31,77.79,60.01,126985101434.0,10773000000.0,4.945682,10.32
AMZN,1350.5,296.16,0.0,6.16,1498.0,812.5,685873374731.0,16132000000.0,3.927053,24.28
